1088	9427	3649	162511 162516
1175	5753	2223	162414 162473 162475
1217	4292	1672	162473 162519 162529
1237	4076	1577	162516 162529
1250	10292	3926	162516 162529
1260	3738	1468	162368 162445
1653	17262	6706	162515 162516 162519
2011	18350	7093	162538 162541
2012	17352	6730	162538 162541
2068	1640	596	162271 162445
2161	8595	3310	162495 162511 162512 162516
2351	1106	408	162271 162516
1	46166	17772	162519 162529
110	48458	18562	162530 162539
150	41936	14690	162534 162541
151	10530	3303	162493 162504
236	10481	3159	162512 162529 162531
1035	12237	4766	162509 162529
1080	17713	6914	162516 162523
1136	29428	11503	162521 162529
1196	45024	17538	162530 162535
1197	29918	11618	162530 162535
1198	42556	16573	162530 162539
1201	14053	5533	162521 162529
1210	43503	16893	162530 162539
1246	19534	7602	162530 162535
1257	4045	1538	162524 162529
1270	38865	15198	162538 162541
1271	7038	2676	162508 162524 162528 162529
1275	9186	3508	162534 162541
1283	4128	1563	162288 162472
1287	7284	2803	162516 162519 162529
1291	29087	11375	162534 162537
1293	7762	2920	162508 162516 162529
1299	5843	2037	162516 162529
1302	10036	3818	162508 162512 162516 162529
1356	16293	5977	162519 162528
1374	13236	4968	162512 162519 162529
1376	10489	3909	162523 162529
1393	18670	7129	162521 162524 162529
1431	2358	886	162495 162519
1465	812	272	161726 161756 161818 161934 162068 162145
1485	14907	5813	162490 162495 162516 162528
1488	2860	1027	162493 162516
1527	25751	9984	162521 162528
1580	32165	12428	162527 162528
1584	17490	6724	162533 162537
1587	5781	2198	162519 162529
1610	18304	6946	162521 162524 162528 162529
1672	3118	1153	162389 162524
1674	9365	3360	162486 162512 162516 162524 162535
1682	26235	10161	162526 162528
1693	3849	1456	162516 162528
1722	10038	3817	162495 162516 162519 162528
1873	2330	855	162498 162516 162524
1907	8567	3327	162521 162524
1923	20600	7800	162533 162535
1957	5415	1879	162480 162493
1968	19465	7491	162524 162530 162535
2028	37470	14429	162533 162539
2081	12524	4781	162520 162524 162535
2083	2895	1104	162495 162512
2115	19384	7495	162516 162519
2138	2381	866	162516 162519
2139	3947	1477	162516 162519
2150	7119	2566	162498 162516 162537
2194	13298	5014	162498 162516 162519
2268	13553	5143	162495 162516 162524 162528
2273	9415	3619	162519 162528
2294	8943	3399	162516 162519 162528
2324	19256	7412	162499 162516 162519
2355	18532	7006	162524 162525 162530
2359	5393	1931	162484 162524 162528
111	23449	9072	162534 162538
172	10455	3717	162517 162519
173	12782	4523	162521 162531
214	783	276	161955 162306
1089	26797	10510	162516 162519
1127	14421	5445	162534 162541
1148	12211	4704	162534 162541
1200	24956	9732	162530 162539
1206	22990	9062	162526 162529
1208	20593	8004	162530 162539
1213	25724	10014	162509 162529
1214	28779	11238	162515 162516 162517 162519 162529
